created_at,text,cleaned_text
Thu May 22 12:35:23 +0000 2025,@Heraloebss Bener aja sih gak ditolongin tuh jamet binatang hobi trobos lampu memang harus dibiarin jadi bangke di aspal loe kalo liat itu dia nrabas lampu dari kanan sementara lampu avanza masih ijo menuju kuning karena jalan simpangan kiri gak lama ijo. Sayang ya kaga mati tuh binatang,user ditolongin tuh jamet binatang hobi trobos lampu dibiarin bangke aspal loe kalo lihat nrabas lampu kanan lampu avanza ijo kuning jalan simpang kiri ijo sayang kaga mati tuh binatang
Thu May 22 11:54:21 +0000 2025,sumpah anjirrr malem ini tuh kek huru hara cust salah ambil orderan ngambil orderan yg salah bawa lampu motor mati pas dijalan mau pulang helmku terbang taikkk kesal sepanjang jalan,sumpah waw malem tuh kek huru hara cust salah ambil order ngambil order salah bawa lampu motor mati jalan pulang helm terbang taik kesal jalan
Thu May 22 10:37:25 +0000 2025,@djfarezki @epicurina Percis tp kebalik yg di pvj gak prnh masuk. Smp Osaka di Namba lht outletnya kecil &amp; di kolong jalan layang. Harga cuma 600-700an¥. Sdh gitu krn wkt itu belum lama dr tsunami yg krisis listrik di meja ada pngumuman mhn maaf jk mndadak mati lampu &amp; ac mati summer pulak 2012.,user user percis balik pvj masuk smp osaka namba lht outletnya kolong jalan layang harga wkt tsunami krisis listrik meja pngumuman mhn maaf mndadak mati lampu mati summer pulak
Thu May 22 02:49:01 +0000 2025,Selama beberapa tahun menjalani kehidupan Solo dan UNS ini opini gua: 1. Lingkungan kos gerbel chaos banget. Suka mati lampu bau sampah TPA banjir terlalu padat. 2. OON SIAPA YANG SURUH LU BANGUN JALAN PAKE KONBLOKKK. 3. Lu ngapa dah suka kasih info telat ke mahasiswa?,jalan hidup solo uns opini lingkung kos gerbel chaos suka mati lampu bau sampah tpa banjir padat oon suruh bangun jalan pakai konblok ngapa dah suka kasih info telat mahasiswa
Thu May 22 00:00:35 +0000 2025,Jalannya jelek banget. Sbg org Jateng yg berkawan dengan jalan jelek ternyata aku masih kaget liat jalanan cirebon. Mana lampu jalan utama bnyk yg mati. Tapi aku suka gapura cirebon yg bata ekspos. Cantiiiikkk. Street foodnya jg lebih enak dari Jateng n Jatim,jalan jelek sbg orang jateng kawan jalan jelek kaget lihat jalan cirebon lampu jalan utama mati suka gapura cirebon bata ekspos cantik street foodnya enak jateng jatim
Wed May 21 20:36:16 +0000 2025,@masabersiapp what.. dl pas maba sering jalan sendiri pas lampu jalan astri mati semua + blm ada pembangunan 2 itu ,user what maba jalan lampu jalan astri mati blm bangun
Wed May 21 15:45:57 +0000 2025,@tubruk_skm @yusufgunawan jalan kerinci raya beberapa lampu mati mulai dari BTN sampai perbatasan Sawojajar 2 lalu tidak ada lampu di Sepanjangan ruko wow dekat lampu merah pak,user user jalan kerinci raya lampu mati btn batas sawojajar lampu panjang ruko lampu merah
Wed May 21 14:56:01 +0000 2025,3/ di antara genangan air dan suara riuh yang tidak lagi manusiawi. Lampu jalan mati total. Hanya lilin-lilin kecil di warung pinggir jalan dan sorot lampu motor yang sesekali melintas memantulkan cahaya tipis di aspal basah. Setiap genangan berubah menjadi cermin gelap yang,genang air riuh manusiawi lampu jalan mati total lilin lilin warung pinggir jalan sorot lampu motor lintas pantul cahaya tipis aspal basah genang ubah cermin gelap
Wed May 21 14:46:15 +0000 2025,Btw itu lampu di depanku suka idup mati idup mati jadi adakalanya ini jalan gelap bgt,ngomong-ngomong lampu suka idup mati idup mati adakalanya jalan gelap
Wed May 21 12:58:22 +0000 2025,@PemkotBandung mau tanya dong kerja nya apa ya? soalnya di liat liat jalan kota bandung makin rusak dan lampu pada mati? (bertanya dengan nada sopan dan penuh keramahan),user kerja lihat lihat jalan kota bandung rusak lampu mati nada sopan penuh ramah
Wed May 21 11:09:32 +0000 2025,Oy banjir oyyyy jalan pada berlubang Lampu jalan juga pada mati ,banjir jalan lubang lampu jalan mati
Wed May 21 04:01:59 +0000 2025,@LiaDadi3 @V3g3L Sampai sekarang? 2025? Terahkir saya angkat kali jalan sma 2002 Masih suka mati lampu dam bensin udah kaya air suci susah kali dapatnya. Dijaman Gini Masih langka parah memang.,user user terahkir angkat jalan sma suka mati lampu dam bensin kaya air suci susah jam gin langka parah
Tue May 20 16:42:41 +0000 2025,pemerintah tolol lampu jalanan mati terus jalanan jelek bahkan jalan depan pupr dan kota BANJIR sampah dimana2 macet sepanjang hari (h.apud tolol urusin noh pelanggan u yg parkir sembarangan) matahari 1 org 1 polisinya laper terooos dimana2 razia kntool,perintah tolol lampu jalan mati jalan jelek jalan pupr kota banjir sampah macet apud tolol urusin noh langgan you parkir sembarang matahari orang polisi laper ros razia kntool
Tue May 20 13:08:34 +0000 2025,Udah hampir maghrib &amp; mulai hujan. Malah mati lampu. Tapi kok sampai lampu merah juga mati. Jadi macet total nih. Nunggu sampai kapan nih? Masa iya ninggalin mobil &amp; jalan kaki. Kalau kalian bakalan ngapain? Baca kelanjutannya di sini: https://t.co/vJlePfkUyK,maghrib hujan mati lampu lampu merah mati macet total nih nunggu nih ninggalin mobil jalan kaki ngapain baca lanjut url
Tue May 20 13:05:47 +0000 2025,Lagi di dalam kereta tau-tau mati lampu. Gelap total. AC mati. Sinyal HP hilang. Kereta seketika berhenti...di dalam terowongan gelap. Masa iya jalan kaki sampai stasiun terdekat gelap-gelapan gini... Baca ketegangannya di Chapter 1: https://t.co/4YhIbpzIN2,kereta tau tau mati lampu gelap total mati sinyal hilang kereta henti terowongan gelap jalan kaki stasiun dekat gelap gelap gin baca tegang chapter url
Mon May 19 22:38:52 +0000 2025,Bener2 lu ye @Kota_Tangerang kebanyakan gimmick! Lihat noh lampu jalan pada mati seluruh kota gak ada itikad baiknya buat ganti. Mau gantj brp kali walikota hah? Heh @HSachrudin bangun!,user banyak gimmick lihat noh lampu jalan mati kota itikad baik ganti gantj brp walikota hah heh user bangun
Mon May 19 13:45:40 +0000 2025,Jalan di sini pas malam eh mati listrik coy. Kasian yg lagi makan gak ada lampu,jalan malam mati listrik coy kasi makan lampu
Mon May 19 13:10:57 +0000 2025,@pln_123 Tegal Danas Cikarang Jalan Bugelsalam ada isu apa ya Kak? Kok mati lampu gini tiba-tiba? Udah hampir sejam.,user tegal danas cikarang jalan bugelsalam isu kak mati lampu gin jam
